id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views
5ON3abmfPrMvkOMrz7F4Ad,Allah yahdiq,Cheikh el Hasnaoui,2,1,4,584280,0.608,-7.516,0.484,1.74e-05,0.353,0.723,0.0316,105.751,0,21073
5gTVqdee1TAhMy3zGxkRWv,Youm el khemis,Cheikh el Hasnaoui,6,0,4,701146,0.603,-9.231,0.55,0.901,0.111,0.732,0.0304,113.029,0,34000
5gTVqdee1TAhMy3zGxkRWv,Youm el khemis,Cheikh el Hasnaoui,6,0,4,701146,0.603,-9.231,0.55,0.901,0.111,0.732,0.0304,113.029,0,34000
1QzrWFKSdmRvcmF80SvefX,يا نجوم الليل,Cheikh el Hasnaoui,3,0,3,378720,0.419,-7.83,0.638,5.66e-06,0.274,0.887,0.0554,174.648,0,510
6ZFFWTrHsGTYHnjPo980lW,فانكير,Cheikh el Hasnaoui,7,1,3,626160,0.451,-9.398,0.468,5.68e-06,0.135,0.656,0.0342,137.613,0,17750
4x4G2uyQ1yvwu5Cndv173w,آين آين,Cheikh el Hasnaoui,0,1,3,274893,0.477,-6.839,0.743,0.316,0.187,0.881,0.0427,155.961,0,11629
51LwCpmw4VD763hIGKo0UN,راحو مقدار,Cheikh el Hasnaoui,11,0,4,338306,0.437,-4.962,0.686,3.36e-05,0.183,0.822,0.0295,140.203,0,23254
7ncUPlshowwfg4cM8Vh3li,L'Amérique,Cheikh el Hasnaoui,3,1,3,365320,0.51,-7.798,0.647,0.000191,0.21,0.714,0.0696,163.493,0,40943
7FoE9HrlWEq4QGb0Q8ypKf,آش داني,Cheikh el Hasnaoui,1,1,4,356653,0.568,-8.354,0.426,0.0346,0.105,0.461,0.0316,97.629,0,66908
5fr6YjEJO9ktfEUTc465BF,حبيت اليوم,Cheikh el Hasnaoui,11,0,3,345386,0.374,-4.863,0.83,0.000595,0.258,0.709,0.0323,153.378,0,88944
4n0wITFnVHDG0NB6KG0kG2,ثالت أيام,Cheikh el Hasnaoui,1,0,4,400120,0.544,-11.638,0.559,0.0,0.183,0.697,0.0964,135.682,0,23254
6FX1VL7rqP6zyyRh0uw6bi,فارجيت بليدي,Cheikh el Hasnaoui,5,0,5,194733,0.418,-10.212,0.466,0.00339,0.166,0.267,0.0387,106.704,0,66908
4yjrKxTYBnoSou3aie4hMY,ايلي هيب سلاهو,Cheikh el Hasnaoui,7,0,4,363973,0.653,-10.411,0.483,6.62e-06,0.428,0.891,0.034,101.708,0,66908
47ejDP5cdWNLZfkYSdzHav,Algérie mon beau pays,Cheikh el Hasnaoui,2,0,4,247533,0.422,-12.627,0.282,1.3e-05,0.139,0.485,0.0436,89.667,0,3452190
4V0eF3KcISlPkHXYxVlRmI,يا رايح,Cheikh el Hasnaoui,2,1,4,184826,0.656,-2.521,0.819,0.0,0.408,0.85,0.0382,102.714,0,88944
1LSc7wU36U9I2Jq30NRTYY,Youm el djemaâ,Cheikh el Hasnaoui,3,0,3,335987,0.444,-8.91,0.476,0.0,0.369,0.671,0.0937,82.088,0,23254
3OxhfAzCoQkHBKoMSgMKaB,Sahrane ellil,Cheikh el Hasnaoui,9,1,4,185400,0.427,-4.117,0.691,6.16e-05,0.0845,0.596,0.0472,112.325,0,4648
4Yr0EdI43RvImn8J06kXYq,Kouani Ou Rah,Kamel Messaoudi,9,0,3,404466,0.458,-2.95,0.726,0.000261,0.0689,0.85,0.0376,100.361,0,2148918
1LtEBtJhx1gyT87yV3LdOR,Ayemma Yemma,Cheikh el Hasnaoui,11,1,4,131546,0.789,-7.942,0.629,0.0302,0.121,0.96,0.0806,124.172,0,58082
34ZTwXn7aueEL52kuJjO2c,Ijah Erray-Yis,Cheikh el Hasnaoui,5,0,4,165159,0.519,-10.498,0.608,0.881,0.227,0.94,0.274,111.029,0,1168
4AKGm8f7OQFbKnBtQLJvqa,A Tinna Hamlagh,Cheikh el Hasnaoui,8,0,4,161077,0.678,-8.587,0.604,0.828,0.351,0.917,0.0536,123.977,0,1421
