id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,last_fm_playcount,last_fm_listeners
1dhpVfr8ERbod5IfZSGv3Z,Rayi ezzahouani,Kamel Messaoudi,11,0,4,367506,0.636,-15.625,0.24,0.0301,0.17,0.663,0.0508,97.212,2,0,0
0aB2a8mKLzulDUcN4uGZHw,Dak elmaqnine ezzine,Kamel Messaoudi,2,1,4,275400,0.588,-12.227,0.445,0.00325,0.0883,0.704,0.0432,100.864,2,0,0
5dzWUdd80VxFzfDxpoolDo,Ouine houma hbabna,Kamel Messaoudi,7,1,4,274973,0.656,-14.751,0.348,0.0104,0.13,0.799,0.045,100.409,2,0,0
6QUDF6d8NbNefimjgnnLkP,Azul Thamurt Idhourar,Idir,0,1,4,276546,0.566,-10.876,0.845,8.11e-06,0.0854,0.968,0.0768,106.891,2,0,0
3Xdq3TKldVXNtVbLC7n4Zb,Les larmes de leurs pères (with Patrick Bruel),Idir,6,1,3,325280,0.585,-13.674,0.372,0.00237,0.104,0.585,0.0398,139.348,2,236,119
5goMAWHJm7ewTHlr1rYIOU,El bahja yal bahia,Kamel Messaoudi,9,0,4,320760,0.458,-11.769,0.486,0.0419,0.11,0.923,0.0719,101.918,2,0,0
0vfb1jHIHomh3RXsKbhHUt,Ya rabbi ya sattar,Kamel Messaoudi,5,1,4,304533,0.704,-13.77,0.381,1.07e-05,0.303,0.781,0.0551,102.959,2,0,0
6eJuzYJzbecOog31ISGtps,Ya tir elquafs,Kamel Messaoudi,6,0,4,304506,0.58,-11.236,0.469,0.00054,0.136,0.945,0.0382,151.067,2,0,0
6T0Rl4h077x1OsMeaVpNnQ,Iniyid kan (L’ogresse de ma vie),Idir,7,1,3,276720,0.626,-8.506,0.587,0.0486,0.344,0.915,0.041,147.962,2,0,0
2naycv3VTELf8idNHdcqf0,Ruh ruh,Idir,0,1,3,145000,0.49,-13.477,0.422,0.0,0.0653,0.921,0.0522,91.878,2,0,0
0a8dzFKfmWtl4osIvQBlJZ,Ay Izem,Idir,5,1,5,376226,0.553,-12.3,0.457,0.0,0.0745,0.808,0.0508,161.946,2,4,1
7u3sW5JqCc8fATzk8U0k0Z,Ufigh Tamghart,Idir,4,0,4,235466,0.55,-10.824,0.64,0.00011,0.234,0.889,0.0433,131.153,2,0,0
1KmWn4Xjwknj2t5UBKa9f3,Hadik el ghamza,Kamel Messaoudi,2,1,4,361560,0.475,-11.601,0.454,2.7e-05,0.12,0.685,0.097,103.334,2,0,0
2pZssoGugwgNACifDxPnct,Mliyi - Instrumental,Idir,9,0,4,286346,0.575,-11.968,0.728,0.943,0.51,0.983,0.0405,121.139,2,0,0
05S9A7H4mzRUJEdqt2njYL,Ziri Ziri,Idir,4,0,4,234440,0.479,-8.598,0.811,0.353,0.62,0.898,0.051,131.661,2,0,0
3evHAW4e40Irg5mOkI2e6I,El kahwa ouel atay,Kamel Messaoudi,7,0,4,346255,0.471,-9.348,0.681,0.000161,0.12,0.904,0.0357,108.014,1,0,0
7FkTkDW10IKsOhP92OzD36,Achamaa,Kamel Messaoudi,9,0,4,549906,0.444,-7.745,0.577,9.9e-05,0.211,0.625,0.041,141.793,1,3,1
2PV2izKiVmpn9zMgW96z8Z,Hassebni Khoud Krak,Kamel Messaoudi,7,1,4,303933,0.687,-8.806,0.472,0.0,0.075,0.786,0.0365,98.575,1,0,0
6Jrc9brPJbSReLS8SzgQiW,9 Aziza aliya - Live,Kamel Messaoudi,0,1,4,224666,0.377,-6.546,0.605,0.53,0.303,0.746,0.0299,102.533,1,3,2
0Uw1RhSCo0BezwatBqKrye,Ufigh Tamghart - Instrumental,Idir,8,0,4,211560,0.698,-8.356,0.87,0.386,0.0868,0.82,0.0748,129.622,1,0,0
0TSli22VhoWrQgGZYuDPia,Assebri Ya Lebniya,Kamel Messaoudi,3,1,4,462946,0.441,-10.761,0.398,0.00243,0.139,0.813,0.0456,145.397,1,2,1
0rYo6fdzjSkhIkZJME49Q8,Assalat ala nabina - Live,Kamel Messaoudi,0,1,5,163226,0.34,-8.752,0.507,0.14,0.366,0.424,0.0307,99.72,1,0,0
1RSinrOKJib3v6NNGGKtJn,Hiya hiya,Kamel Messaoudi,2,0,4,222840,0.66,-3.091,0.918,1.48e-05,0.295,0.92,0.0451,106.962,1,0,0
2CriasgZB6W3fUzXUxhRPi,Les matins d'hiver (with Gérard Lenorman),Idir,2,1,4,223253,0.613,-10.998,0.53,3.88e-05,0.11,0.359,0.048,132.038,1,135,78
4nkwodoB9QJjvR7UdlrkSj,Keltoum,Kamel Messaoudi,2,0,4,720626,0.42,-13.864,0.458,4.99e-06,0.133,0.737,0.0632,122.867,1,9,4
3y8W0jjdSYaZ2AxbjzGTaC,La déchirure,Idir,3,0,5,298852,0.467,-8.566,0.542,0.0094,0.149,0.763,0.115,168.833,1,0,0
0aH55vbpcGblGpNrGUZ93E,La désillusion,Idir,8,1,1,329933,0.357,-6.172,0.482,0.0,0.275,0.349,0.0394,126.369,1,0,0
3aSyY9gJcDpo09ukT03lPE,Faregte Bledi,Kamel Messaoudi,10,0,4,194733,0.401,-10.212,0.467,0.00326,0.166,0.259,0.0417,106.536,1,0,0
0mkqpkyFD6e38PraGeykTg,Lux,Idir,9,1,4,445816,0.688,-14.104,0.481,0.765,0.1,0.102,0.0442,120.004,0,0,0
4VgxMWuKCtlAMDUoStCIIu,Space Room,Idir,2,1,4,332000,0.372,-14.75,0.525,0.936,0.112,0.22,0.0484,119.267,0,0,0
7gPX0eue2EiXsbXcZz90nZ,Lux (Idir Remix),Idir,7,1,4,432000,0.715,-10.178,0.657,0.909,0.15,0.462,0.0357,120.008,0,0,0
5LLVlDvKylns6OWFaWwuhm,Noussik ya h bibi,Kamel Messaoudi,2,1,4,506173,0.464,-7.315,0.487,2.05e-06,0.187,0.259,0.0672,110.65,0,0,0
5WCZGnRGetV4XzTfkU177F,Mabrouk Laaroussa,Kamel Messaoudi,10,0,4,602186,0.635,-8.815,0.64,0.00317,0.149,0.701,0.0366,128.522,0,2,1
