id,name,main_artist,duration_ms_x,explicit,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity
14QPtkWgsjBqT73Jh6Tqpn,Baslahi Drabtini,Cheb Djalil,274048,False,0.349,-6.174,0.891,1.34e-05,0.229,0.819,0.0947,92.75,23
7vRsAAgM5QdKeWs7aWZQvO,Manich Délicat,Bilal Sghir,256744,False,0.515,-7.075,0.887,0.0,0.0906,0.859,0.0425,172.069,22
4VK2ds3l1POC0M1wFEiomn,Ana Acheki Liya Wahdi,Warda,398489,False,0.696,-4.807,0.862,0.0,0.0537,0.577,0.197,94.032,22
0KoXiJCNMRUR5md3EJnSs4,Katlouna Bzoom,Warda,335226,False,0.695,0.255,0.964,0.0,0.0536,0.935,0.0486,93.928,22
789tcPy9WZx47n5Y1j5ldV,Choufou Rwahkoum Ki Dayrin,Cheba Dalila,366708,False,0.573,-2.137,0.86,0.0,0.0583,0.632,0.192,93.007,22
6UBcbampZS3KWR8CBxWkxU,Tahseb Ghi Howa Bnadem,Cheba Dalila,349457,False,0.659,-2.949,0.868,0.0,0.194,0.695,0.119,88.062,21
3mAmbinHdIGUT6LFr8uC9p,Meriouli,Cheba Dalila,161333,False,0.599,-5.949,0.898,0.0,0.272,0.699,0.142,97.14,19
5OzBv2BtPChE64ZyxrnvFW,عشقك يقسف,Bilal Sghir,363206,False,0.465,-7.413,0.765,0.0,0.414,0.796,0.214,74.238,18
7djU7GwzflNZTvWESmTxyJ,Galbi ytgata3,Warda,312085,False,0.582,-5.536,0.838,2.16e-06,0.069,0.81,0.0695,188.133,18
7x560Xq3o80uxSeJKbsAWe,Radouli omri,Warda,222563,False,0.367,-5.695,0.797,0.0,0.0811,0.474,0.413,92.005,18
4HvvbAB9gJ4DbvhAaTkoZi,Edenia Tkarik,Cheba Dalila,561894,False,0.678,-5.178,0.816,0.0,0.335,0.694,0.0531,89.984,18
3AV1b8QvgxALSE0TTlshdo,Choufou Rwahkom Ki Dayrin Medahatte,Cheba Dalila,358608,False,0.681,-5.629,0.807,2.49e-06,0.0785,0.859,0.0615,93.956,16
1MU9cGJPkf8Z3A42HHKfR2,Yi Yi Yi,Cheba Dalila,451604,False,0.469,-4.617,0.837,0.0,0.362,0.762,0.0498,96.206,15
3KYoTAbeSphbH6Z3Jja2Wd,Malgré Niya Zina,Cheba Dalila,267656,False,0.587,-4.753,0.769,0.0,0.0793,0.567,0.213,91.925,15
